Innecesaria,MarcaModelo,Rating,RAM,Memoria,TamanoCelular,Cam_Trasera,Cam_Frontal,BateriaCapacidad,Precio
114,"Mi A3 (More Than White, 128 )",4.2,6.0,128.0,6.08,48,8.0,4030,14990
115,"Apple iPhone XR (Yellow, 128 )",4.6,12.0,64.0,6.1,35,7.0,3500,573000
116,Kechaoda K9,4.1,6.0,64.0,4.54,48,,3700,1250
117,Nokia 216/216 DS,4.3,4.0,64.0,4.54,48,20.0,1020,2450
118,JIVI N3720 Power,4.1,1.0,16.0,4.58,48,8.0,3800,2299
119,BlackZone Neo-B,4.0,6.0,32.0,4.77,48,8.0,1100,685
120,Micax X707,3.6,6.0,2.4,,48,,3000,1190
121,Lava One,4.1,6.0,25.0,4.54,48,12.0,3000,1369
122,Muphone MU M360,4.3,6.0,32.0,4.4,64,,3000,960
123,Micax Flash X910,3.7,4.0,40.0,4.58,48,8.0,3800,1799
124,I Kall K3310,3.7,6.0,64.0,4.5,48,,3000,639
125,I Kall K27 New,3.5,6.0,64.0,4.5,48,8.0,3000,639
126,"OPPO A5s (Blue, 32 )",4.3,3.0,32.0,6.2,38,2.0,4230,13744
127,Micax X412,3.9,6.0,32.0,4.77,64,,4600,1399
128,I Kall K 15,3.5,6.0,64.0,4.5,48,12.0,3000,639
129,"Vivo Y81 (Gold, 32 )",4.3,4.0,32.0,6.22,38,5.0,3260,13950
130,Karbonn K49,3.8,6.0,32.0,4.54,48,,3500,1149
131,"MI3 (Metallic Grey, 16 )",4.4,2.0,16.0,5.0,38,2.0,3050,13999
132,Karbonn K Pebble,4.0,6.0,32.0,4.54,48,,3000,1690
133,Grabo G100,3.7,8.0,64.0,4.5,48,5.0,3000,479
134,Samsung Metro 313 Dual Sim,4.2,4.0,22.0,4.503,48,,3000,2025
135,"Apple iPhone 11 Pro Max (Silver, 64 )",4.7,8.0,64.0,6.5,35,12.0,3500,117100
136,"OPPO R17 (Aient Blue, 128 )",,8.0,128.0,6.4,48,,3500,22999
137,"OPPO R17 (Neon Purple, 128 )",,8.0,128.0,6.4,48,5.0,3500,22999
138,Salora Kiano,3.9,6.0,32.0,4.54,64,,1200,1299
139,Samsung Guru GT,4.1,4.0,,4.4,64,,3500,1549
140,"Redmi Note 8 (Cosmic Purple, 128 )",4.4,6.0,128.0,6.3,48,1.0,3800,153000
141,MTR MT 310,3.7,8.0,64.0,4.5,48,6.0,3000,650
142,Lava A7,4.2,6.0,24.0,4.54,48,,1750,1599
143,I Kall K18 New Coo of Two Mobiles,3.6,6.0,64.0,4.5,48,4.0,3000,1199
144,"Karbonn Titanium S4 (Black, 4 )",3.4,1.0,4.0,4.7,38,2.0,2800,13298
145,MTR Mt312,3.6,8.0,64.0,4.77,48,,3000,650
146,"Redmi Note 6 Pro (Black, 64 )",4.5,6.0,64.0,6.26,35,5.0,3800,17999
147,"Samsung Galaxy A21s (White, 64 )",4.2,4.0,64.0,6.5,48,8.0,5000,16499
148,"Nokia 7.2 (Charcoal, 64 )",4.2,6.0,64.0,6.3,48,5.0,3500,18099
